z,symbol,charge,electron_count,state_source,source_table,state_role,physical_status,include_reason
72,Hf,1,71,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
72,Hf,2,70,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
72,Hf,3,69,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
73,Ta,-1,74,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
73,Ta,0,73,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
73,Ta,1,72,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
73,Ta,2,71,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
73,Ta,3,70,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
74,W,-1,75,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
74,W,0,74,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
74,W,1,73,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
74,W,2,72,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
74,W,3,71,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
75,Re,-1,76,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
75,Re,0,75,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
75,Re,1,74,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
75,Re,2,73,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
75,Re,3,72,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
76,Os,-1,77,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
76,Os,0,76,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
76,Os,1,75,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
76,Os,2,74,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
76,Os,3,73,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
77,Ir,-1,78,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
77,Ir,0,77,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
77,Ir,1,76,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
77,Ir,2,75,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
77,Ir,3,74,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
78,Pt,-1,79,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
78,Pt,0,78,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
78,Pt,1,77,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
78,Pt,2,76,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
78,Pt,3,75,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
79,Au,-1,80,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
79,Au,0,79,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
79,Au,1,78,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
79,Au,2,77,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
79,Au,3,76,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
80,Hg,-1,81,formal_rule,curated/formal_atoms_ions.csv,formal_monoanion,not_claimed,review_unbound_but_required_by_policy
80,Hg,0,80,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
80,Hg,1,79,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
80,Hg,2,78,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
80,Hg,3,77,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
81,Tl,-2,83,formal_rule,curated/formal_atoms_ions.csv,formal_multianion,not_claimed,p_block_formal_dianion_policy
81,Tl,-1,82,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
81,Tl,0,81,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
81,Tl,1,80,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
