comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference,delta_tail_electrons_gt_10_bohr,206,7.238665967639027e-16,2.7458245899582405e-06,0.0004200340994860871,0.0007610817763946901,0.002175924163168296,0.0032631976487665776
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference,delta_tail_electrons_gt_15_bohr,206,1.111899726121172e-31,2.4604389535659205e-09,7.0519549373896046e-06,2.886344151013471e-05,7.221685094770705e-05,0.0004811357821495383
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference,delta_tail_electrons_gt_20_bohr,206,4.1171585132931055e-54,5.721322090038551e-13,6.134779509692941e-08,1.8315254399428318e-07,1.0676955384165315e-06,9.904609859500525e-06
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,relative_l1_delta,118,0.0002214909965956932,0.0008035550394405243,0.001189939647761601,0.0014826839532795918,0.0024774237993574148,0.003999145788852479
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,l1_delta_electrons_trapz,118,0.0004429984666749444,0.041090197216374705,0.055368365473110734,0.059636739496852734,0.06371388176780403,0.06748661150876982
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,max_abs_cumulative_delta_electrons,118,8.37833653084541e-05,0.006879416600924948,0.012320884750802463,0.013148242702494527,0.014784933579648152,0.015984158349873212
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,mean_abs_radial_shift_angstrom,118,1.1650344005744543e-05,7.212331745225995e-05,0.00015806231784706593,0.000181018272397987,0.00032732424595365966,0.00043424366725313275
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,delta_mean_r_angstrom,118,6.03607676929787e-07,1.6057405339333572e-05,3.7446015172865684e-05,4.4865283273296575e-05,0.00010604780881270274,0.00012950456986474948
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,delta_rms_r_angstrom,118,5.22728169451678e-07,5.081404337126219e-05,0.0001332192055597222,0.0001591801690242176,0.00025979309579710877,0.00034492548257665826
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,max_abs_quantile_radius_delta_angstrom,118,0.0006179181231633983,0.013698911165316251,0.04144613521221678,0.05230695775881575,0.10252936468185442,0.10385241952967131
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,max_abs_cutoff_radius_delta_angstrom,118,0.00016774279170721364,0.005271336462942093,0.015619370652914067,0.018401283725126588,0.023102249290513965,0.029970620765822954
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,delta_tail_electrons_gt_10_bohr,118,4.1524526137217696e-17,3.604198028222708e-07,9.073778450596161e-05,0.000310278022006209,0.00033499580720116755,0.0003457992063824282
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,delta_tail_electrons_gt_15_bohr,118,5.270177454522926e-33,2.611792130602214e-09,1.7635223708246525e-07,6.617729223961773e-07,2.147327620721322e-06,2.882319894883305e-06
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,state_role,reference_uncertain,delta_tail_electrons_gt_20_bohr,118,1.9456764053438224e-55,1.0342470449976997e-11,1.2475336650924716e-09,2.3308437653117266e-09,3.5882357198726936e-09,4.6580362167035114e-09
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,relative_l1_delta,63,0.00040562545858006564,0.005024517418407286,0.01481142075241077,0.018448676747696333,0.056869841546301966,0.10165885102489591
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,l1_delta_electrons_trapz,63,0.03488508668592186,0.13419412753289334,0.4807475035311314,0.6067087189216059,0.6942676147768048,0.8080405038209912
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,max_abs_cumulative_delta_electrons,63,0.0041669154774837125,0.05072170209262339,0.2211738707121228,0.2632864479514637,0.30229140860495823,0.3444105864443259
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,mean_abs_radial_shift_angstrom,63,0.00012688108308501981,0.004149518357070582,0.019643300167547596,0.025269640204721718,0.05915265767959575,0.08677428573147299
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,delta_mean_r_angstrom,63,0.00011694764477175933,0.003929258333784487,0.019241163503655685,0.02485138334502048,0.05913499260056265,0.08676445539312527
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,delta_rms_r_angstrom,63,0.0006791424455030881,0.017097705622104768,0.09480229927797482,0.10733487188890488,0.13163782137490582,0.13336523596751912
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,max_abs_quantile_radius_delta_angstrom,63,0.12401591849312296,0.5826431043469964,2.4422780750704094,2.575145409279226,2.8502586671860852,2.9097481860305034
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,max_abs_cutoff_radius_delta_angstrom,63,0.008986261279009438,0.08785866891740428,0.18400362347976218,0.2331032758905364,0.2979251207879906,0.3058071719842154
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,delta_tail_electrons_gt_10_bohr,63,4.6472428026456143e-10,0.008463589705715245,0.2166879620843687,0.2544202673309308,0.28891708030296137,0.3101835683391305
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,delta_tail_electrons_gt_15_bohr,63,4.422772969096814e-23,4.075386737980751e-05,0.04374907800733193,0.07078476291454903,0.08791695759356098,0.10608649587042165
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_experimental,delta_tail_electrons_gt_20_bohr,63,1.553864521711631e-41,8.041023619206781e-09,0.0020395464716576827,0.0030040744874079177,0.006656158830362777,0.010372615090932695
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,relative_l1_delta,3,0.007651139012442579,0.010512828933550452,0.01206739135446824,0.012261711657082962,0.012417167899174741,0.012456031959697685
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,l1_delta_electrons_trapz,3,0.4973425301480962,0.7043857320623075,0.8384408759847504,0.8551977689750556,0.8686032833672999,0.871954661965361
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,max_abs_cumulative_delta_electrons,3,0.20953290765035604,0.31447654758835597,0.3732553240870516,0.3806026711493885,0.3864805487992581,0.3879500182117255
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,mean_abs_radial_shift_angstrom,3,0.011850462187345543,0.01671578746780344,0.019085348411204454,0.01938154352912958,0.019618499623469683,0.01967773864705471
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,delta_mean_r_angstrom,3,0.01133162785316142,0.016463797812864465,0.018710065927123112,0.01899084944140544,0.019215476252831307,0.019271632955687772
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,delta_rms_r_angstrom,3,0.07522693915214829,0.10799432244601825,0.12520356485844414,0.12735472015999738,0.12907564440123998,0.12950587546155062
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,max_abs_quantile_radius_delta_angstrom,3,2.270740474424442,2.6134804720082583,2.9253341356398104,2.964315843593754,2.9955012099569096,3.003297551547698
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,max_abs_cutoff_radius_delta_angstrom,3,0.08928251093552284,0.1522706552979152,0.19182592879064322,0.19677033797723423,0.20072586532650702,0.20171474716382523
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,delta_tail_electrons_gt_10_bohr,3,0.20552494192941298,0.30579435749037254,0.3569481156084553,0.36334233537321564,0.3684577111850239,0.369736555137976
