state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,True,True,3.268496584496461e-13,2.4e-06,True,1.36598613456075e-15,1e-08,True,True,True,0,0
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,True,True,3.552713678800501e-13,2.5999999999999997e-06,True,2.2168525863864842e-15,1e-08,True,True,True,0,0
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,True,True,4.014566457044566e-13,3e-06,True,2.264592897854135e-15,1e-08,True,True,True,0,0
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,True,True,3.907985046680551e-13,2.8e-06,True,1.7189340694995667e-15,1e-08,True,True,True,0,0
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,True,True,4.476419235288631e-13,3.2e-06,True,1.8515042599197624e-15,1e-08,True,True,True,0,0
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,True,True,4.263256414560601e-13,3e-06,True,1.3640395901511977e-15,1e-08,True,True,True,0,0
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,True,True,4.973799150320701e-13,3.6e-06,True,1.9477928769702932e-15,1e-08,True,True,True,0,0
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,True,True,4.689582056016661e-13,3.3999999999999996e-06,True,1.961528411415834e-15,1e-08,True,True,True,0,0
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,True,True,4.511946372076636e-13,3.2e-06,True,1.899905014031402e-15,1e-08,True,True,True,0,0
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,True,True,5.115907697472721e-13,3.6e-06,True,2.1320683245785553e-15,1e-08,True,True,True,0,0
