r_bohr,rho_e_bohr3__Ni_qm1_mult2_ning2022,rho_e_bohr3__Ni_q0_mult3_nist,rho_e_bohr3__Ni_qp1_mult2_nist,rho_e_bohr3__Pd_qm1_mult2_ning2022,rho_e_bohr3__Pd_q0_mult1_nist,rho_e_bohr3__Pd_qp1_mult2_nist
5.1712062283234191e-06,26129.455756613912,26140.07341226182,26119.127073897653,311687.2494997452,311667.25476003566,311670.58105401997
5.2490300196323887e-06,26129.446931385632,26140.064583443011,26119.118252163003,311683.39611961122,311663.4016277967,311666.72788052098
5.3280250159226114e-06,26129.437838542846,26140.05548690083,26119.109162919758,311679.42603463598,311659.43179822445,311662.75800843874
5.4082088431807468e-06,26129.428469970902,26140.046114517303,26119.099798056523,311675.33571495221,311655.34174167883,311658.66790809552
5.4895993926548262e-06,26129.418817309081,26140.036457928312,26119.090149215903,311671.12152421719,311651.12782205036,311654.45394334366
5.5722148248462285e-06,26129.408871943269,26140.026508516254,26119.080207787094,311666.77971641859,311646.78629356832,311650.11236837099
5.6560735735618299e-06,26129.398624998092,26140.016257402116,26119.069964898339,311662.30643258512,311642.31329750957,311645.63932441466
5.7411943500271239e-06,26129.388067329099,26140.005695437772,26119.059411408816,311657.69769740175,311637.70485881483,311641.03083637159
5.8275961470611604e-06,26129.377189514689,26139.994813197743,26119.048537900551,311652.94941572344,311632.9568826023,311636.28280931601
5.915298243314403e-06,26129.365981847499,26139.983600970765,26119.037334670131,311648.05736898328,311628.06515057653,311631.39102490834
6.0043202075703644e-06,26129.354434325949,26139.972048751129,26119.025791719847,311643.01721149927,311623.02531733515,311626.3511376995
6.0946819031118867e-06,26129.342536645207,26139.960146229841,26119.013898749006,311637.82446666888,311617.83290656377,311621.15867132618
6.1864034921532225e-06,26129.33027818803,26139.94788278532,26119.001645144519,311632.47452305118,311612.48330711806,311615.80901459593
6.2795054403388208e-06,26129.317648015247,26139.935247473972,26118.989019971617,311626.96263033553,311606.97176899214,311610.29741745116
6.3740085213097203e-06,26129.304634856115,26139.922229020496,26118.976011963965,311621.28389518731,311601.2933991676,311604.61898682109
6.4699338213387559e-06,26129.291227098191,26139.908815807641,26118.962609513706,311615.4332769771,311595.44315733865,311598.76868234633
6.5673027440355318e-06,26129.277412776948,26139.894995866103,26118.948800661128,311609.40558338113,311589.41585151514,311592.74131198064
6.6661370151220953e-06,26129.26317956522,26139.880756863582,26118.934573083839,311603.19546584901,311583.20613349136,311586.53152746172
6.766458687280584e-06,26129.248514762032,26139.866086094076,26118.919914085964,311596.79741494625,311576.80849418731,311580.13381964999
6.86829014507383e-06,26129.233405281448,26139.850970466228,26118.90481058673,311590.20575555391,311570.21725884848,311573.54251373064
6.9716541099399101e-06,26129.217837640852,26139.835396491959,26118.889249108826,311583.4146419288,311563.42658210819,311566.75176427385
7.0765736452619663e-06,26129.201797948845,26139.81935027424,26118.873215766402,311576.41805262154,311556.43044290447,311559.75555015396
7.1830721615143294e-06,26129.185271892915,26139.802817494725,26118.856696252617,311569.2097852435,311549.22263924766,311552.54766931396
7.2911734214859705e-06,26129.16824472677,26139.785783401134,26118.839675826937,311561.78345108265,311541.79678283597,311545.12173338479
7.4009015455826822e-06,26129.150701257033,26139.768232793867,26118.822139302079,311554.13246955955,311534.14629351482,311537.4711621399
7.5122810172090521e-06,26129.132625829756,26139.750150012675,26118.804071030288,311546.25006252644,311526.26439357141,311529.58917779563
7.6253366882313151e-06,26129.114002316546,26139.731518922494,26118.785454889505,311538.12924839713,311518.14410186937,311521.46879913873
7.7400937845225492e-06,26129.094814100048,26139.71232289933,26118.766274268975,311529.7628361067,311509.77822780522,311513.10283549089
7.8565779115912463e-06,26129.075044059231,26139.692544815123,26118.746512054469,311521.14341889607,311501.15936509753,311504.4838804903
7.9748150602946678e-06,26129.054674554074,26139.672167022662,26118.726150612929,311512.2633679189,311492.27988539013,311495.60430569941
8.0948316126380351e-06,26129.033687409916,26139.651171339945,26118.705171776874,311503.11482565838,311483.13193167211,311486.45625402307
8.2166543476612017e-06,26129.012063901126,26139.629539033685,26118.683556828139,311493.68969916081,311473.70741151029,311477.03163294075
8.3403104474137035e-06,26128.989784734582,26139.607250802925,26118.661286481169,311483.97965306637,311463.9979900805,311467.32210754039
8.4658275030198924e-06,26128.966830032354,26139.584286761612,26118.638340865928,311473.97610244679,311453.99508300715,311457.3190933537
8.593233520835253e-06,26128.943179313948,26139.560626420989,26118.614699510079,311463.67020542966,311443.68984898698,311447.01374898257
8.7225569286954612e-06,26128.918811478281,26139.536248671295,26118.590341320822,311453.05285561836,311433.07318220858,311436.39696851821
8.8538265822593275e-06,26128.893704784554,26139.511131762985,26118.565244565987,311442.11467428855,311422.13570455206,311425.45937374042
8.9870717714474114e-06,26128.867836833153,26139.485253287276,26118.539386854882,311430.84600236674,311410.86775756406,311414.19130609278
9.1223222269773225e-06,26128.841184545592,26139.458590156279,26118.512745118049,311419.23689217563,311399.25939420797,311402.5828184312
9.2596081269975256e-06,26128.813724143904,26139.431118582412,26118.485295587059,311407.27709894732,311387.30037037469,311390.62366653798
9.3989601038208977e-06,26128.78543112953,26139.402814057059,26118.457013772917,311394.95607209433,311374.98013615509,311378.30330039037
9.5404092507597221e-06,26128.756280261434,26139.373651329006,26118.427874444664,311382.26294623141,311362.28782686352,311365.61085518653
9.683987129063354e-06,26128.726245533649,26139.343604381633,26118.397851606664,311369.18653194665,311349.21225380816,311352.53514211491
9.8297257749605436e-06,26128.695300152125,26139.312646410082,26118.366918475389,311355.7153063101,311335.7418947994,311339.06463886227
9.9776577068075069e-06,26128.663416510863,26139.280749797035,26118.335047455817,311341.83740311314,311321.86488439271,311325.18747985724
1.0127815932343732e-05,26128.630566167267,26139.247886088342,26118.302210116573,311327.54060283734,311307.56900385482,311310.89144623606
1.0280233956056898e-05,26128.596719816866,26139.214025967645,26118.268377164834,311312.81232233945,311292.84167085309,311296.16395553033
1.0434945786658738e-05,26128.56184726724,26139.179139230204,26118.2335184201,311297.63960424752,311277.66992884886,311280.99205106369
1.0591985944673193e-05,26128.525917411076,26139.14319475606,26118.197602787382,311282.00910606614,311262.04043620452,311265.3623910555
1.0751389470139056e-05,26128.488898198477,26139.106160482283,26118.160598229457,311265.9070889703,311245.93945498008,311249.26123741805
1.0913191930428255e-05,26128.450756608479,26139.068003374472,26118.122471738436,311249.31940629834,311229.3528394223,311232.67444424704
1.1077429428181991e-05,26128.411458619586,26139.028689397288,26118.083189306315,311232.23149171734,311212.26602413645,311215.58744599146
1.1244138609366217e-05,26128.370969179516,26138.988183484191,26118.04271589468,311214.62834706949,311194.66401192971,311197.98524529871
1.1413356671448446e-05,26128.329252174044,26138.946449506235,26118.001015403584,311196.49452988297,311176.53136132273,311179.85240052344
1.1585121371697428e-05,26128.286270394721,26138.903450239864,26117.958050639347,311177.81414053641,311157.85217371769,311161.17301289737
1.1759471035607905e-05,26128.241985505942,26138.859147333882,26117.913783281441,311158.57080908003,311138.61008021771,311141.93071334891
1.1936444565452165e-05,26128.196358010631,26138.813501275148,26117.868173848576,311138.74768169341,311118.78822808719,311122.10864896141
1.2116081448960099e-05,26128.149347215316,26138.766471353571,26117.821181663261,311118.32740677998,311098.36926684459,311101.68946906825
1.229842176813007e-05,26128.100911193666,26138.718015625862,26117.772764815862,311097.29212068301,311077.33533398283,311080.65531097061
1.2483506208172397e-05,26128.051006749505,26138.668090878178,26117.722880127207,311075.62343302002,311055.66804030369,311058.98778527341
1.2671376066587233e-05,26127.999589378025,26138.616652587647,26117.671483110149,311053.30241162598,311033.34845485812,311036.66796082514
1.2862073262379239e-05,26127.946613226472,26138.563654882884,26117.618527930106,311030.30956709129,311010.35708949179,311013.67634926224
1.3055640345410969e-05,26127.892031053263,26138.509050503028,26117.563967364164,311006.62483689387,310986.67388297245,310989.99288913829
1.3252120505896783e-05,26127.835794185983,26138.452790755935,26117.507752759208,310982.22756911098,310962.27818470611,310965.5969296383
1.3451557584039884e-05,26127.777852478102,26138.394825474574,26117.449833988518,310957.09650570166,310937.14873801987,310940.46721386054
1.365399607981424e-05,26127.718154264323,26138.335102972727,26117.390159407318,310931.20976535551,310911.26366301056,310914.58186166815
1.3859481162893873e-05,26127.656646314874,26138.273569998895,26117.328675806806,310904.54482589313,310884.60043894732,310887.91835209017
1.4068058682731293e-05,26127.59327378785,26138.210171688894,26117.26532836687,310877.07850621175,310857.13588621904,310860.45350526593
1.4279775178787993e-05,26127.527980180777,26138.144851517271,26117.200060607385,310848.78694776958,310828.84614781861,310832.16346393368
1.4494677890918523e-05,26127.460707280217,26138.077551246897,26117.132814337943,310819.64559559297,310799.70667035226,310803.02367443644
1.4712814769911125e-05,26127.391395110168,26138.008210877342,26117.063529606261,310789.62917880598,310769.69218456931,310773.0088672525
1.4934234488186832e-05,26127.319981878594,26137.936768591495,26116.99214464485,310758.71169066487,310738.77668539935,310742.09303703345
